Winery,Year,Wine ID,Wine,Rating,num_review,price,Country,Region
Adega Cooperativa de Borba,1990,3375687,Reserva Tinto 1990,0.0,0,15.0,Portugal,Alentejo
Cartuxa,2006,1493079,EA Reserva Tinto 2006,0.0,8,85.0,Portugal,Alentejo
Quinta da Carvalhosa,2000,75018,Campo Ardosa 2000,0.0,12,35.0,Portugal,Douro
C. da Silva,2004,1300263,Dalva Colheita Tinto 2004,0.0,0,34.28,Portugal,Douro
Quinta da Manuela,2000,1270402,Tinto 2000,4.1,180,85.0,Portugal,Douro
Sagrado,2007,1415543,Mutante Tinto 2007,3.8,141,15.0,Portugal,Douro
Pinheiro Da Cruz,2007,1210654,Tinto 2007,0.0,12,12.5,Portugal,Península de Setúbal
Reynolds Wine Growers,2004,1265556,Carlos Reynolds 2004,0.0,9,47.9,Portugal,Alentejano
Rio Belo,2019,2497759,Tinto 2019,3.6,150,6.99,Portugal,Douro
Quinta da Plansel,2006,1235463,Capela de Sta. Margarida 2006,0.0,0,15.0,Portugal,Alentejo
Rui Reguinga,2007,1246727,Terrenus 2007,0.0,12,17.5,Portugal,Alentejano
Herdade da Calada,2014,1781887,Vale da Calada Tinto 2014,3.6,165,6.29,Portugal,Alentejano
Quinta da Alorna,2017,1175789,Tinto 2017,3.5,732,4.49,Portugal,Tejo
Quinta dos Frades,2013,6519958,Grande Reserva Vinhas Velhas 2013,4.3,266,29.95,Portugal,Douro
Quinta de S. José,2014,1295490,Reserva 2014,4.2,106,32.95,Portugal,Douro
Reynolds Wine Growers,2004,1265556,Carlos Reynolds 2004,0.0,9,47.9,Portugal,Alentejano
Quinta da Carvalhosa,2000,75018,Campo Ardosa 2000,0.0,12,35.0,Portugal,Douro
Companhia das Lezírias,2007,1248215,Patriarcal Superior 2007,0.0,5,15.0,Portugal,Ribatejo
Quinta do Monte d'Oiro,1999,1196206,Reserva 1999,0.0,5,29.0,Portugal,Lisboa
Vale do Rodo,2005,1395714,Cabeça de Burro Reserva 2005,3.5,47,16.9,Portugal,Douro
UDACA,1997,1260516,Colheita 1997,0.0,8,20.0,Portugal,Dão
Brites Aguiar,2010,2327107,Bafarela Reserva 2010,3.7,160,8.5,Portugal,Douro
Pinheiro Da Cruz,2007,1210654,Tinto 2007,0.0,12,12.5,Portugal,Península de Setúbal
Quinta da Manuela,2000,1270402,Tinto 2000,4.1,180,85.0,Portugal,Douro
Sagrado,2007,1415543,Mutante Tinto 2007,3.8,141,15.0,Portugal,Douro
